python3 02_dqn_n_steps.py --cuda
595107: done 263 games, mean reward 17.500, speed 183.26 f/s, eps 0.02
596996: done 264 games, mean reward 17.450, speed 183.52 f/s, eps 0.02
598964: done 265 games, mean reward 17.500, speed 180.02 f/s, eps 0.02
600759: done 266 games, mean reward 17.550, speed 181.39 f/s, eps 0.02
602508: done 267 games, mean reward 17.550, speed 182.66 f/s, eps 0.02
604535: done 268 games, mean reward 17.530, speed 183.59 f/s, eps 0.02
606334: done 269 games, mean reward 17.550, speed 183.32 f/s, eps 0.02
608312: done 270 games, mean reward 17.530, speed 183.33 f/s, eps 0.02
609966: done 271 games, mean reward 17.590, speed 183.45 f/s, eps 0.02
611607: done 272 games, mean reward 17.630, speed 182.73 f/s, eps 0.02
613374: done 273 games, mean reward 17.690, speed 184.47 f/s, eps 0.02
615205: done 274 games, mean reward 17.700, speed 183.40 f/s, eps 0.02
616908: done 275 games, mean reward 17.740, speed 183.23 f/s, eps 0.02
618850: done 276 games, mean reward 17.740, speed 184.30 f/s, eps 0.02
620812: done 277 games, mean reward 17.750, speed 183.83 f/s, eps 0.02
622584: done 278 games, mean reward 17.840, speed 184.69 f/s, eps 0.02
624269: done 279 games, mean reward 17.870, speed 183.43 f/s, eps 0.02
626233: done 280 games, mean reward 17.880, speed 183.11 f/s, eps 0.02
627926: done 281 games, mean reward 17.920, speed 183.36 f/s, eps 0.02
629839: done 282 games, mean reward 17.920, speed 183.46 f/s, eps 0.02
631589: done 283 games, mean reward 17.970, speed 183.06 f/s, eps 0.02
633453: done 284 games, mean reward 17.980, speed 184.12 f/s, eps 0.02
635139: done 285 games, mean reward 18.020, speed 182.93 f/s, eps 0.02
Solved in 635139 frames!
