python3 04_dqn_noisy_net.py --cuda
365723: done 415 games, mean reward -20.390, speed 139.34 f/s
366601: done 416 games, mean reward -20.390, speed 138.12 f/s
367501: done 417 games, mean reward -20.390, speed 138.28 f/s
368426: done 418 games, mean reward -20.390, speed 136.62 f/s
369335: done 419 games, mean reward -20.400, speed 140.26 f/s
370094: done 420 games, mean reward -20.400, speed 137.22 f/s
370977: done 421 games, mean reward -20.420, speed 142.52 f/s
371916: done 422 games, mean reward -20.420, speed 143.91 f/s
372737: done 423 games, mean reward -20.440, speed 140.53 f/s
373693: done 424 games, mean reward -20.430, speed 140.11 f/s
374650: done 425 games, mean reward -20.430, speed 139.74 f/s
375530: done 426 games, mean reward -20.440, speed 140.12 f/s
376631: done 427 games, mean reward -20.420, speed 139.45 f/s
377479: done 428 games, mean reward -20.440, speed 139.48 f/s
378446: done 429 games, mean reward -20.440, speed 138.85 f/s
379349: done 430 games, mean reward -20.430, speed 139.56 f/s
380233: done 431 games, mean reward -20.440, speed 137.67 f/s
381134: done 432 games, mean reward -20.430, speed 137.32 f/s
382267: done 433 games, mean reward -20.430, speed 139.80 f/s
383173: done 434 games, mean reward -20.450, speed 138.31 f/s
384050: done 435 games, mean reward -20.460, speed 136.58 f/s
384932: done 436 games, mean reward -20.470, speed 139.60 f/s
385939: done 437 games, mean reward -20.480, speed 141.34 f/s
386823: done 438 games, mean reward -20.480, speed 141.83 f/s
387582: done 439 games, mean reward -20.480, speed 142.26 f/s
388465: done 440 games, mean reward -20.480, speed 140.43 f/s
389288: done 441 games, mean reward -20.490, speed 141.09 f/s
390120: done 442 games, mean reward -20.480, speed 141.10 f/s
391030: done 443 games, mean reward -20.490, speed 136.74 f/s
391974: done 444 games, mean reward -20.480, speed 140.07 f/s
392805: done 445 games, mean reward -20.470, speed 139.35 f/s
393629: done 446 games, mean reward -20.470, speed 140.78 f/s
394589: done 447 games, mean reward -20.470, speed 136.26 f/s
395482: done 448 games, mean reward -20.470, speed 140.92 f/s
396357: done 449 games, mean reward -20.480, speed 137.70 f/s
397419: done 450 games, mean reward -20.490, speed 138.12 f/s
398348: done 451 games, mean reward -20.470, speed 139.24 f/s
399236: done 452 games, mean reward -20.470, speed 140.76 f/s
400022: done 453 games, mean reward -20.470, speed 137.32 f/s
400838: done 454 games, mean reward -20.480, speed 139.18 f/s
401669: done 455 games, mean reward -20.480, speed 139.08 f/s
402489: done 456 games, mean reward -20.500, speed 139.48 f/s
403277: done 457 games, mean reward -20.500, speed 138.93 f/s
404122: done 458 games, mean reward -20.500, speed 138.14 f/s
405096: done 459 games, mean reward -20.490, speed 140.52 f/s
405877: done 460 games, mean reward -20.490, speed 140.98 f/s
406882: done 461 games, mean reward -20.510, speed 137.57 f/s
407788: done 462 games, mean reward -20.510, speed 140.96 f/s
408880: done 463 games, mean reward -20.520, speed 142.93 f/s
409728: done 464 games, mean reward -20.520, speed 142.23 f/s
410562: done 465 games, mean reward -20.510, speed 141.63 f/s
411411: done 466 games, mean reward -20.510, speed 138.82 f/s
412331: done 467 games, mean reward -20.500, speed 139.97 f/s
413243: done 468 games, mean reward -20.500, speed 139.42 f/s
414122: done 469 games, mean reward -20.510, speed 142.58 f/s
414880: done 470 games, mean reward -20.510, speed 145.96 f/s
415793: done 471 games, mean reward -20.510, speed 139.99 f/s
416911: done 472 games, mean reward -20.480, speed 140.99 f/s
417730: done 473 games, mean reward -20.510, speed 140.92 f/s
418569: done 474 games, mean reward -20.500, speed 139.54 f/s
419387: done 475 games, mean reward -20.510, speed 137.85 f/s
420168: done 476 games, mean reward -20.510, speed 139.49 f/s
421143: done 477 games, mean reward -20.490, speed 135.97 f/s
422138: done 478 games, mean reward -20.500, speed 139.27 f/s
