steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_kl	average_policy_step_size
6352580	2276	21356.560388326645	1159.0	990.0	523.1623924642222	2480.0	710.0	152.39308	0.8302909011915326	0.004099198733456433	1.0
6400462	2294	21515.28555202484	932.0	755.0	369.76869646968345	1520.0	510.0	34.507095	1.232402934372425	0.004096492591779679	1.0
6452056	2312	21679.400672197342	985.0	990.0	370.4726710568541	1550.0	240.0	138.7336	1.1978806469142438	0.004087645839899778	1.0
6501688	2328	21835.953984975815	1166.0	1040.0	598.9472245346644	2120.0	440.0	175.96693	0.9756186687648296	0.004107363123912364	1.0
6553009	2345	22011.577491283417	1476.0	1470.0	436.5826891259483	2170.0	680.0	121.60212	0.895842638388276	0.004061401239596307	1.0
6601306	2362	22181.03612422943	1460.0	1270.0	871.4355971613737	3360.0	280.0	183.40834	0.665291447289288	0.004001790068577975	1.0
6651956	2380	22356.130755901337	1252.0	1075.0	506.4868101825445	2000.0	770.0	210.63568	0.8085575921349227	0.004007560450118035	1.0
6701125	2397	22525.617361068726	1108.0	930.0	666.2298568979195	2690.0	290.0	214.40422	1.1053384458422661	0.003985749187413603	1.0
6750727	2415	22691.902773857117	824.0	665.0	380.50259161038866	1510.0	440.0	141.22856	0.9784998170882463	0.003979176881257445	1.0
6800865	2433	22863.07734656334	1252.0	1090.0	507.2540454906857	2240.0	740.0	195.49568	1.2355198630541564	0.003975687448401004	1.0
6851467	2451	23032.550936460495	1005.0	905.0	277.1782418909857	1430.0	700.0	306.6449	1.0853545156121254	0.004009711651597172	1.0
6901645	2469	23205.627873659134	1128.0	1075.0	518.1977314586478	2190.0	570.0	147.049	1.087517950028181	0.004012471719179302	1.0
6952790	2486	23382.390711307526	1258.0	1420.0	427.2339978148847	1850.0	670.0	117.95183	1.1521157264113426	0.004000135972164571	1.0
7001392	2504	23547.797909259796	926.0	885.0	301.70625891198654	1530.0	540.0	40.217155	1.0307117107063533	0.003997397550847381	1.0
7051537	2521	23722.655200004578	1223.0	1180.0	418.94178858431184	2120.0	690.0	260.81235	0.930681157797575	0.003978148340247571	1.0
7101354	2538	23896.602476596832	1105.0	970.0	376.12793331820257	2030.0	760.0	164.86221	0.82496407430619	0.004011131126899273	1.0
7152875	2555	24070.246720075607	1354.0	1260.0	563.8991241545089	2780.0	670.0	93.352	1.2975722712278366	0.0039768994646146895	1.0
7202276	2572	24237.153002500534	1324.0	1085.0	866.2075707101361	3450.0	490.0	46.674507	1.0212554649561643	0.003969678529538214	1.0
7251565	2589	24396.77564549446	1402.0	1200.0	799.024405134161	3480.0	730.0	209.47528	0.9111367526054382	0.003986122866626829	1.0
7302926	2606	24566.38052725792	887.0	765.0	293.97845726061854	1600.0	630.0	25.743988	1.118696019127965	0.003972149600740522	1.0
7350607	2623	24731.16944503784	840.0	840.0	279.9206236695602	1300.0	340.0	71.82294	0.7551787072047591	0.003970509681385011	1.0
7403273	2641	24908.447221517563	964.0	875.0	332.4053750066827	1570.0	500.0	114.342476	0.8198380689173936	0.003945377094205469	1.0
7451186	2658	25073.084612846375	904.0	805.0	228.87162825964737	1360.0	700.0	167.26619	0.9991059866547585	0.003931276495568454	1.0
7500069	2677	25237.63678264618	1069.0	925.0	596.3677090893206	2030.0	300.0	22.12816	0.8674285559356213	0.003937038592994213	1.0
7552128	2696	25409.436009407043	978.0	990.0	494.6334220634734	2030.0	300.0	180.65923	0.7681997192353011	0.003928481144830584	1.0
7602314	2714	25580.808594226837	1066.0	1035.0	461.66847171728955	1890.0	460.0	35.034664	0.8412842436432838	0.003948286711238325	1.0
7650553	2729	25750.592005968094	918.0	830.0	408.86835697242867	1560.0	250.0	35.101257	0.8044735908471048	0.003949007622431964	1.0
7701514	2746	25924.750152111053	1052.0	1025.0	258.62027075317286	1370.0	530.0	191.54321	1.028363162353635	0.0039627123530954125	1.0
7750770	2762	26097.886848449707	1476.0	1360.0	569.8576820380487	2300.0	510.0	139.68236	0.9729386066868901	0.003986290395259857	1.0
7800451	2779	26267.164710998535	929.0	875.0	429.84364082251534	1810.0	240.0	10.899984	0.9365811608508229	0.004001478562131524	1.0
7854467	2795	26451.409527778625	1140.0	895.0	511.55536248669006	2060.0	670.0	2.5736835	0.9851998848319053	0.0039809813303872945	1.0
7901827	2811	26619.104054689407	1286.0	1065.0	654.6279689852686	2360.0	270.0	178.48428	0.7885176030099392	0.003999117114581167	1.0
7952845	2829	26790.09926366806	1268.0	1185.0	428.94703117699225	1930.0	720.0	146.98143	1.1215777207016946	0.00402027941076085	1.0
8000797	2845	26948.550758123398	1195.0	1205.0	438.79253513350574	2030.0	680.0	42.315773	0.8854320802092552	0.004041721001267433	1.0
8053216	2864	27121.876348257065	1267.0	1360.0	442.845596367653	2090.0	620.0	85.5597	1.1331620525866748	0.004076748774386942	1.0
8101129	2881	27288.99738240242	1212.0	1170.0	447.08438179435933	2160.0	480.0	103.69803	0.7337182086706161	0.00404155523981899	1.0
8152259	2899	27458.567555189133	902.0	940.0	253.54377224543387	1180.0	460.0	75.296295	0.7862110860012471	0.004062024340964854	1.0
8201420	2916	27621.618940353394	953.0	930.0	497.79625461739977	2140.0	410.0	174.65637	0.6718050497025252	0.004060213582124561	1.0
8251013	2933	27784.14118885994	961.0	995.0	410.8649413128358	1630.0	260.0	40.126408	0.9917894888371229	0.004025117694400251	1.0
8302720	2952	27959.65314912796	1205.0	1150.0	319.83502691926105	1850.0	680.0	66.05728	1.074139520764351	0.0040216215793043375	1.0
8351992	2968	28131.171588420868	1129.0	1150.0	255.27545035814853	1490.0	650.0	248.65639	1.1933829922676087	0.003989611235447228	1.0
8400121	2985	28299.31531214714	1319.0	1260.0	514.1649108559972	2240.0	550.0	66.90389	1.0089460629075766	0.003996830231044441	1.0
8451249	3001	28469.812225818634	1441.0	1400.0	728.7348245037042	2440.0	360.0	209.00104	0.6970599252209068	0.004006005851551891	1.0
8501449	3017	28631.616272211075	1489.0	1250.0	1093.3175811873389	4300.0	600.0	0.51161426	1.3836927067041398	0.00398232666309923	1.0
8550057	3033	28792.73120546341	1365.0	1105.0	808.2663202462692	3500.0	720.0	120.06305	1.2898814170360564	0.003974843956530094	1.0
8602069	3052	28957.40011882782	1609.0	1465.0	830.4811189237771	3530.0	700.0	68.255325	0.9071084675528109	0.003982449520844966	1.0
8651701	3068	29118.142597913742	1184.0	1135.0	439.1709360956291	2260.0	720.0	77.47491	0.7380197488963604	0.003950587869621813	1.0
8703103	3086	29298.644688367844	1336.0	1195.0	494.97923637708726	2220.0	760.0	82.18162	1.2109574386775495	0.003964011596981436	1.0
